Name of Establishment ,Street Address,Zip Code,FUNCTION
Royal India,"8990 Miramar Rd #200, San Diego, CA ",92126,Eatery
Orchid Persian Cuisine,"9514 Miramar Rd, San Diego CA",92126,Eatery
SMACK'N Guamanian Grill,"9506 Miramar Rd, San Diego, CA ",92126,Eatery
Miramar Postal Plus,"9528 Miramar Rd, San Diego, CA ",92126,Services
Qwik Corner Market,"9532 Miramar Rd, San Diego, CA",92126,Grocery
Bogey's Pub & Grill,"9522 Miramar Rd, San Diego, CA",92126,Eatery
Pho 46,"9508 Miramar Rd, San Diego, CA ",92126,Eatery
Kim's House,"9510 Miramar Rd, San Diego, CA ",92126,Eatery
Boba Love 2,"9504 Miramar Rd, San Diego, CA ",92126,Eatery
LASHME Uyen Beauty Studio,"9500 Miramar Rd, San Diego, CA ",92126,Services
Jazzi Cleaners,"9502 Miramar Rd, San Diego, CA ",92126,Services
Salon and Barber Hairisma,"9520 Miramar Rd, San Diego, CA ",92126,Services
Juanberto's Mexican,"9530 Miramar Rd, San Diego, CA ",92126,Eatery
Rockin' Jump San Diego,"8190 Miralani Dr,",92126,Services
Sunrun Solar,"8090 Arjons Dr,",92126,Construction
Coffee Ambassador,7920 Arjons Dr suite a,92126,Eatery
Seven Caves Spirits,7950 Stromesa Ct,92126,Eatery
Sattvik Foods,8650 Miramar Rd ste b,92126,Eatery
Little Miss Brewing ,7949 Stromesa Ct ste y,92126,Eatery
Alesmith Brewing,9990 AleSmith Ct,92126,Eatery
Babe Kombucha,7727 Formula Pl,92126,Eatery
Inflection Point Coffee,8837 Jade Coast Dr,92126,Eatery
San Idli Indian Restraurant,9550 Black Mountain Rd G,92126,Eatery
Smokin' J's BBQ,8665 Miralani Dr Unit 100,92126,Eatery
Thyme for Lunch Cafe and Grill,8860 Kenamar Dr # 310,92126,Eatery
At Ease Gaming Center and Tournament Center,8990 Miramar Rd #150,92126,Services
Grill House Cafe,9494 Black Mountain Rd,92126,Eatery
Little India San Diego,"9474 Black Mountain Rd F,",92126,Eatery
Pyramid Bistro,"7310 Miramar Rd STE 105, San Diego, CA ",92126,Eatery
Supernatural Sandwhiches Miramar,"7094 Miramar Rd UNIT 122, San Diego, CA ",92121,Eatery
Tenkatori Miramar,"6780 Miramar Rd #104, San Diego, CA ",92121,Eatery
Gourmet Artisan,"7094 Miramar Rd STE 105, San Diego, CA ",92121,Eatery
L&L Hawaiian Barbecue,"2660 Antares Dr B, San Diego, CA ",92145,Eatery
Pastalini,"7190 Miramar Rd #109, San Diego, CA ",92121,Eatery
Lunch Box,"7190 Miramar Rd, San Diego, CA ",92121,Eatery
Gyrogrill,"6780 Miramar Rd #110, San Diego, CA ",92121,Eatery
Gonzales Mess Hall,"5500 Miramar Way, San Diego, CA ",92145,Eatery
D'sotos Mexican Food,"9272 Miramar Rd #19, San Diego, CA ",92126,Eatery
Meditteranean Kitchen Lounge,"7310 Miramar Rd, San Diego, CA ",92126,Eatery
Miramar Cash & Carry,"9262 Miramar Rd, San Diego, CA ",92126,Grocery
MCAS Mirarmar Commisary,"2661 Moore Ave, San Diego, CA ",92126,Grocery
Akshar Cash N Carry,"9520-B, Black Mountain Rd, San Diego, CA ",92126,Grocery
Kim's Mart,"7094 Miramar Rd, San Diego, CA ",92121,Grocery
Seafood City Supermarket,"8915-8945, 8955 Mira Mesa Blvd, San Diego, CA ",92126,Grocery
"Gary Faith Construction, Inc.","7313 Carroll Canyon Rd C, San Diego, CA ",92121,Construction
"Elite Living Remodeling, Inc.","8650 Miramar Rd, San Diego, CA ",92126,Construction
Civil Construction Company,"8670 Miramar Rd suite V, San Diego, CA ",92126,Construction
TR Construction,"9335 Mira Mesa Blvd, San Diego, CA ",92126,Construction
California Construction Superior,"8451 Miralani Dr Suite E, San Diego, CA ",92126,Construction
Stel Builders,"7950 Dunbrook Rd, San Diego, CA ",92126,Construction
Milan Design + Build,"8380 Miramar Mall Suite 227A, San Diego, CA ",92121,Construction
Marrokal Design and Remodeling,"9474 Kearny Villa Rd #205, San Diego, CA ",92126,Construction
Coffman Specialties Inc.,"9685 Via Excelencia # 200, San Diego, CA ",92126,Construction
Tri-Group Construction & Dev,"9580 Black Mountain Rd, San Diego, CA ",92126,Construction
Dixieline Lumber and Home Centers,"7292 Miramar Rd, San Diego, CA ",92121,Construction
Lombardi Contracting Corporation,"7744 Formula Pl, San Diego, CA ",92121,Construction
RL Mays Construction,"9682 Via Excelencia, San Diego, CA ",92126,Construction
Freedom Renovation Kitchen & Bathroom Remodeling,"8925 Carroll Way Suite B, San Diego, CA ",92121,Construction
Eco Minded Solutions,"9530 Padgett St Suite #109, San Diego, CA",92126,Construction
Trench Shoring Company,"9450 Dowdy Dr, San Diego, CA ",92126,Construction
Foundation Building Materials,"8515 Miramar Pl, San Diego, CA ",92121,Goods & Supplies
Tom Duffy Wholesale Flooring Products,"6160 Marindustry Dr, San Diego, CA ",92121,Goods & Supplies
Amazon Stones,"7980 Miramar Rd, San Diego, CA ",92126,Goods & Supplies
DeMar Wholesale Flooring,"8930 Activity Rd STE ""A, San Diego, CA ",92126,Goods & Supplies
Marshall's Industrial Hardware,"8423 Production Ave, San Diego, CA ",92121,Goods & Supplies
Armada Tile Wholesale Porcelain Tiles and Natural Stone Mosaics,"8840 Miramar Rd Ste C, San Diego, CA ",92126,Goods & Supplies
Diamond W Floor Covering Co,"8410 Arjons Dr, San Diego, CA ",92126,Construction
Winsupply of San Diego,"7585 Carroll Canyon Rd, San Diego, CA ",92121,Goods & Supplies
Miramar Repair Center,"8465 Commerce Ave # A, San Diego, CA ",92121,Services
Miramar H & A Auto Repair Center II,"9491 Black Mountain Rd, San Diego, CA ",92126,Services
Elite Service Center,"8268 Miramar Rd, San Diego, CA ",92126,Services
Miramar Automotive & Transmission,"9499 Kearny Villa Rd Suite 109, San Diego, CA ",92126,Services
Family Auto Service,"8040 Miramar Rd, San Diego, CA ",92126,Services
Service Center at Audi San Diego,"9010 Miramar Rd, San Diego, CA ",92126,Services
Miramar H & A Specialist,"9585 Black Mountain Rd, San Diego, CA ",92126,Services
Miramar Auto Collision and Paint,"9130 Dowdy Dr, San Diego, CA ",92126,Services
Tire Choice Auto Service Centers,"6660 Miramar Rd, San Diego, CA ",92121,Services
Pacific Auto Service,"7451 Trade St, San Diego, CA ",92121,Services
Brandon Auto Smog Repair Center,"6670 Miramar Rd, San Diego, CA ",92121,Services
Brewski's Bar and Arcade,8670 Miramar Rd,92126,Services
Vamonos Vans,9380 Activity Rd suite a,92126,Goods & Supplies
Imperial Synthetic High,9323 Activity Rd,92126,Eatery
Blast Off Children's Therapy Services,9520 Padgett St UNIT 104,92126,Services
Baba Kabob,9474 Black Mountain Rd suite a,92126,Eatery
Piedmont Plastics San Diego,"9040 Activity Rd suite c,",92126,Goods & Supplies
Seaside Buffet,8998 Miramar Rd,92126,Eatery
Alliance Jiu Jitsu,"8990 Miramar Rd Ste 225, San Diego, CA 92126",92126,Services
Cosentino Center San Diego,"9020 Activity Rd Suite C,",92126,Services
Numotion Miramar,8940 Activity Rd suite k,92126,Goods & Supplies
Moreno Bath,8604 Miramar Rd unit a,92126,Goods & Supplies
Jaunt Coffee Roasters,8680 Miralani Dr UNIT 131,92126,Eatery
FruitStix,"8221 Arjons Dr STE A,",92126,Eatery
Sol-ti,8380 Miralani Dr,92126,Eatery
Dreamstyle Remodeling,8260 Miralani Dr,92126,Construction
Deli Mart,9210 Dowdy Dr # Ab,92126,Eatery
Gunfighter Tactical,7955 Dunbrook Rd Suite J,92126,Goods & Supplies
Chewys Rugulach & Hamantashen,7795 Arjons Dr,92126,Eatery
The Fly Stop,9275 Trade Pl E,92126,Services
Geeks Candy Shop,7868 Silverton Ave e,92126,Eatery
Cutwater Tasting Room,9750 Distribution Ave,92126,Eatery
Better Buzz Coffee Miramar,6912 Miramar Rd,92121,Eatery
Sunline Energy,7340 Trade St Suite H,92121,Services
San Diego Food Bank,9850 Distribution Ave,92121,Services
Dancer's Choice Premium Dance Supply,9155 Brown Deer Rd Unit 6,92121,Goods & Supplies
Mankind Dispensary,7128 Miramar Rd,92121,Eatery
Ballast Point Brewing Company ,9045 Carroll Way,92121,Eatery
Sandwich Island ,"7350 Trade St, Suite A",92121,Eatery
Division 23 Brewing ,7408 Trade St,92121,Eatery
Annullo,"7576 Trade St, suite A",92121,Eatery
Rebellion MMA,"9260 Trade Pl, suite 102",92121,Eatery
Duck Foot Brewing Company ,8920 Kenamar Dr,92121,Eatery
World Seasonings LLC,"7919 Silverton Ave, suite 407",92121,Grocery
Vigitron,"7810 Trade st, suite 100",92121,Goods & Supplies
Air Supply Jeyco,7544 Trade St,92121,Goods & Supplies
Arenson Office Furniture ,8185 Camino Santa Fe,92121,Goods & Supplies
